"","S1.mean","S2.mean","S3.mean","S4.mean","GC.mean","PB.mean","NBC.mean","MBC.mean","dropout","Special"
"AMPL130598",0.838780119660289,0.850365719402003,0.820594619365203,0.835567106385669,0.689950867198991,0.793846504507547,0.838468831398471,0.643017471760837,0.164437194127243,"Normal"
"AMPL130599",0.844214966103265,0.882820086508152,0.857820272485155,0.894743951585843,0.453567854999924,0.706941729267414,0.776967714140376,0.355733697057708,0.00554649265905383,"Normal"
"AMPL130603",0.933852289393069,0.914987454458461,0.883731593405386,0.893678047502003,0.544423942086915,0.715755108674984,0.808563845931738,0.412069448563879,0.144698205546493,"Normal"
"AMPL130604",0.130456472903315,0.118468594288578,0.157180571227884,0.161883667558085,0.255283400606374,0.186542106482004,0.152135344573454,0.517575896908085,0.177814029363785,"Normal"
"AMPL130612",0.901033893242936,0.901177881372747,0.881110625379582,0.900911655576239,0.750657902711017,0.832398986607462,0.875339136827266,0.692523228665332,0.196574225122349,"Normal"
"AMPL130613",0.825292125630377,0.847618972952774,0.824954830458288,0.832389267407791,0.42128473381826,0.70657281048564,0.823113779471994,0.238796017676704,0.239477977161501,"Normal"
"AMPL130614",0.508807597142796,0.446038512510097,0.426780908081443,0.458152539560761,0.052654153164414,0.076484076982924,0.08912229700561,0.060688880533505,0.108972267536705,"Special"
"AMPL130617",0.559519338443981,0.600142440979242,0.562205990187326,0.582885563759285,0.535314862506541,0.6275357816418,0.676422517997305,0.503120777503262,0.100815660685155,"Normal"
"AMPL130620",0.863366092387857,0.899017150949007,0.872079991437169,0.887539719112258,0.759509012722936,0.867182647704385,0.887659460026095,0.667216014441698,0.0292006525285481,"Normal"
"AMPL130621",0.820501689231589,0.7915636597903,0.541338817214264,0.412290147001415,0.140406992660269,0.275483079742608,0.343613803032016,0.068513212076682,0.0481239804241436,"Normal"
"AMPL130622",0.509115572960662,0.5424514578825,0.523050289898572,0.576933434454734,0.161413750700578,0.136538828779626,0.13762859082779,0.294023114616715,0.0177814029363784,"Special"
"AMPL130627",0.578483839327802,0.665112711727009,0.649906690667399,0.704680733161202,0.112544391403972,0.138983626545842,0.156749238717519,0.12194730543956,0.176345840130506,"Special"
"AMPL130633",0.64457028057107,0.796317915822779,0.775720787641857,0.858360808260163,0.889447842175295,0.86290025845741,0.860899601141841,0.827240852373644,0.0399673735725938,"Normal"
"AMPL130635",0.931500473641365,0.939113455540283,0.922190898808668,0.94270462269607,0.88840498411181,0.834681947466435,0.915427856867161,0.836202086393531,0.000652528548124032,"Normal"
"AMPL130638",0.869765727095811,0.885162807976872,0.838869885585496,0.841494729192517,0.280519625492093,0.605311190063017,0.776968559957457,0.554634364630937,0.163784665579119,"Normal"
"AMPL130639",0.882168584126341,0.90467274482031,0.891877765632403,0.919034392144641,0.450542868678949,0.732772810192362,0.861246197315741,0.237478216303122,0.0422512234910277,"Normal"
"AMPL130640",0.745284947511372,0.774125374363614,0.688603703462594,0.623632734818643,0.064610501402284,0.06589221426331,0.068922542129791,0.070924417928064,0.000652528548124032,"Normal"
"AMPL130642",0.729004226332096,0.396735137951431,0.323709748259905,0.346474760640838,0.162261271926692,0.152970740091983,0.150481223484571,0.272735969234643,0.0212071778140294,"Special"
"AMPL130643",0.823463204543351,0.878573087989137,0.733140332091917,0.56953434815239,0.085834503970564,0.182174453522115,0.226815030698957,0.331794566912882,0.000815660685154929,"Normal"
