"","NBC.mean","MBC.mean","Class"
"AMPL130598",0.838468831398471,0.643017471760837,"Naive B-cell high"
"AMPL130599",0.776967714140376,0.355733697057708,"Naive B-cell high"
"AMPL130603",0.808563845931738,0.412069448563879,"Naive B-cell high"
"AMPL130604",0.152135344573454,0.517575896908085,"Memory B-cell high"
"AMPL130612",0.875339136827266,0.692523228665332,"Naive B-cell high"
"AMPL130613",0.823113779471994,0.238796017676704,"Naive B-cell high"
"AMPL130614",0.08912229700561,0.060688880533505,"Naive B-cell high"
"AMPL130617",0.676422517997305,0.503120777503262,"Naive B-cell high"
"AMPL130620",0.887659460026095,0.667216014441698,"Naive B-cell high"
"AMPL130621",0.343613803032016,0.068513212076682,"Naive B-cell high"
"AMPL130622",0.13762859082779,0.294023114616715,"Memory B-cell high"
"AMPL130627",0.156749238717519,0.12194730543956,"Naive B-cell high"
"AMPL130633",0.860899601141841,0.827240852373644,"Naive B-cell high"
"AMPL130635",0.915427856867161,0.836202086393531,"Naive B-cell high"
"AMPL130638",0.776968559957457,0.554634364630937,"Naive B-cell high"
"AMPL130639",0.861246197315741,0.237478216303122,"Naive B-cell high"
"AMPL130640",0.068922542129791,0.070924417928064,"Memory B-cell high"
"AMPL130642",0.150481223484571,0.272735969234643,"Memory B-cell high"
"AMPL130643",0.226815030698957,0.331794566912882,"Memory B-cell high"
"AMPL130645",0.801054824179182,0.282902054594453,"Naive B-cell high"
"AMPL130646",0.450863929999718,0.275593512946167,"Naive B-cell high"
"AMPL130648",0.349641330167233,0.163534341085029,"Naive B-cell high"
"AMPL130649",0.922991942096531,0.83411761474649,"Naive B-cell high"
"AMPL130650",0.161028983863323,0.07216244089206,"Naive B-cell high"
"AMPL130651",0.810221137742622,0.366695281850814,"Naive B-cell high"
"AMPL130654",0.74614088673439,0.290959743707196,"Naive B-cell high"
"AMPL130667",0.859476152745947,0.517806530068461,"Naive B-cell high"
"AMPL130668",0.074120352223691,0.076816915186096,"Memory B-cell high"
"AMPL130669",0.908483373913702,0.734365872542648,"Naive B-cell high"
"AMPL130671",0.413139551576562,0.609629100970402,"Memory B-cell high"
"AMPL130672",0.150998312657554,0.160346825727743,"Memory B-cell high"
"AMPL130676",0.177454212667706,0.853577917839338,"Memory B-cell high"
"AMPL130680",0.838154697791306,0.613443823236017,"Naive B-cell high"
"AMPL130681",0.373817805740014,0.102359527147488,"Naive B-cell high"
"AMPL130695",0.83748316825012,0.515285571266039,"Naive B-cell high"
