X6042308046_R06C02	X6042308046_R03C02	X6042308061_R05C02	X6042308061_R06C02	X6042308062_R04C02	X6042308062_R06C02	X6042308061_R04C02	X6042308046_R06C01	X6042308046_R04C02	X6042308061_R03C01	X6042308062_R05C01	X6042308062_R03C02	X6042308062_R01C01	X6042308062_R03C01	X6042308061_R01C01	X6042308046_R01C01	X6042308046_R04C01	X6042308061_R01C02	X6042308062_R04C01	X6042308061_R05C01	X6042308046_R02C01	X6042308046_R05C01	X6929671168_R04C01	X5900833028_R01C02	X5900833028_R01C01	X5900833028_R04C01	X6929671131_R04C02	X6929671127_R02C02	X6929671137_R01C01	X7990908013_R05C01	X6929671127_R05C02	X6929671133_R03C02	X6929671127_R06C02	X6929671133_R04C02	X6929671168_R03C01	X6929671168_R03C02	X6929671131_R03C02	X7990908013_R03C02	X7990908013_R05C02	X7990908013_R04C01	X7990908013_R01C02	X6929671168_R06C01	X6929671168_R04C02	X6929671131_R06C02	X7990908013_R04C02	X7990908013_R06C02	X7990908013_R06C01	X7990908013_R02C02	X7990895055_R06C01	X6929671168_R01C01	X6929671168_R02C01	X7990895143_R06C02	X5900833028_R03C02	X5900833028_R03C01	X5900833028_R06C01	X6929671127_R04C02	X6929671137_R03C01	X5900833028_R02C02	X5900833028_R02C01	X5900833028_R05C01	X6929671127_R03C02	X6929671137_R02C01
cg00426822	0.336224741251848	0.276506119853759	0.33871891829953	0.340869433275169	0.29178440607012	0.309878012496281	0.364	0.35958904109589	0.372318822185557	0.43836026331538	0.317279354738638	0.362873940861145	0.352887813728455	0.358065934065934	0.295191612436732	0.300308194343727	0.404276757725034	0.319571649992955	0.366601997556945	0.346841121495327	0.34907183212268	0.387929296323678	0.572166246851385	0.445855028374188	0.501634976383674	0.528785613987408	0.588983581902494	0.566431613488794	0.493803181650019	0.467333461563121	0.549202510508435	0.431421283275558	0.640887290167866	0.551806111207746	0.651661034240898	0.515124371253359	0.653233502165456	0.558348149345402	0.581518335536845	0.571018217552347	0.511490351982934	0.610988708344809	0.508350586611456	0.651229483189944	0.566024369509776	0.610152204613212	0.578069039091671	0.523723674506269	0.595926680244399	0.700844162003225	0.760508390098023	0.714631640739654	0.601326994409905	0.73395516455562	0.670654646558261	0.694368643016621	0.686379792785298	0.557996620064526	0.622020778162559	0.66755823986195	0.620930398233241	0.582623509369676
cg01971813	0.057406542947287	0.0805333664874274	0.0844616770673719	0.0600752767242047	0.0732327898679479	0.0469634340222576	0.0749575682765005	0.0772649122108044	0.0619361708420835	0.117706958325476	0.0645859573468821	0.0687280313205498	0.0813188620292715	0.0768480864250204	0.074652013231231	0.0986402396865637	0.0794467479797827	0.0909207558868243	0.0731196520461329	0.0691786164276715	0.0818212940773708	0.106977085973652	0.115763130305387	0.0997647445015866	0.111054434161626	0.116306727536986	0.122074255130853	0.088054209625123	0.0980284775465498	0.0867272779091971	0.14967269725368	0.126881777894711	0.187135368851245	0.227347971390199	0.219143244046636	0.123658457198655	0.273262752646776	0.220791389789129	0.20582765034098	0.227829479676357	0.186858795838798	0.134178242738995	0.11071807569862	0.241166689760288	0.156120859020392	0.144635410084671	0.170581708670154	0.145186723587554	0.237282168632283	0.427224357639218	0.423542949976308	0.355119588901133	0.296734749508363	0.377494602706545	0.349326154737362	0.377354028085735	0.358693332816046	0.219295976673643	0.269737613889649	0.246878125517587	0.2090630784565	0.259380646245641
cg04844495	0.877922314199945	0.922234537796497	0.890754795912269	0.911439388315641	0.922667383705297	0.918005732650048	0.90055768560474	0.9097397903867	0.896821549754172	0.906872022449912	0.921425912906828	0.90977902575998	0.889017844189758	0.90804122004718	0.893019854884977	0.894197301292137	0.905557319784058	0.889393215480172	0.911942920655409	0.895109879231835	0.906168702323736	0.892594744216246	0.821428571428571	0.823757090423757	0.822135044383124	0.791972103441254	0.844860640023595	0.823565348429927	0.836893601762205	0.862429571452962	0.856890046412234	0.85043485043485	0.737131298493494	0.602830827178295	0.648513596697686	0.746548847087379	0.64797706275884	0.642041454829879	0.63944530046225	0.653519880995457	0.495064686152372	0.719574703885849	0.753289833412314	0.696840192482417	0.726202564970477	0.633815704748026	0.665532518164097	0.598425196850394	0.642632517425839	0.386688072200286	0.472791979182611	0.478994924223334	0.516746645774165	0.477952269073822	0.472386787859114	0.523865036805116	0.54960685922004	0.621954380508035	0.604424558786975	0.610083304049445	0.638666847310662	0.619997624985156
cg05710142	0.835599505562423	0.763655003926359	0.825074552683897	0.792720780669899	0.849357133940831	0.86642441463348	0.768461365172336	0.817559842142146	0.800676352148086	0.760548608309802	0.721222827843247	0.783981562878662	0.775266829646413	0.750485051076463	0.693311102393095	0.734584303520066	0.772754455208707	0.779213131647713	0.792246565502379	0.755158279878656	0.783247190089425	0.774194778695246	0.709700311152355	0.715603884623768	0.719086887428596	0.721741191053428	0.77389310383875	0.75089160616482	0.771933625059573	0.744356866401107	0.801723425928475	0.788925369364819	0.681762354570019	0.614593798920536	0.579797634177339	0.665297741273101	0.59079460850793	0.584022331516682	0.617820305703989	0.551851349518513	0.535329380548367	0.644353666482883	0.689446170164406	0.626701900088084	0.620644893296641	0.616876080691643	0.54722665248981	0.575185717709082	0.571972261785239	0.447509726375358	0.427229512396459	0.477989534827901	0.518613979412665	0.480741954584888	0.53560467335517	0.491610614236085	0.528803912358743	0.548930921052632	0.549407881964667	0.568148318435679	0.601557550158395	0.589192312370758
cg06373377	0.93443420823918	0.898222632030778	0.84762099383536	0.917937116815842	0.923466435185185	0.935203051379852	0.916201654800847	0.929100613399187	0.91006679389313	0.888573207752783	0.91840423039593	0.916108476049097	0.919430850099692	0.933233906770255	0.879360465116279	0.893912264995524	0.918220189940204	0.922505307855626	0.922625987822257	0.905791861153113	0.885329319859528	0.90867440439829	0.881348805919946	0.856124386486583	0.873697179581099	0.858676628092265	0.90627862436506	0.865059708093764	0.863594526599988	0.846200953589082	0.903835566158928	0.907706247842596	0.869663412501821	0.781195335276968	0.805544973544974	0.849514768826546	0.798108623980566	0.804450056605417	0.813281315546606	0.75996473481509	0.723965465912474	0.858057589816341	0.864711337815905	0.814709517923362	0.815750490451215	0.833967457297822	0.818212422151153	0.806587019696481	0.753718174943282	0.527490114855959	0.563058981127615	0.602978624893896	0.686759698844291	0.644403367333304	0.678909009248106	0.724827739497666	0.674071991001125	0.792879514956467	0.755360060324243	0.777156642156294	0.84056921307145	0.800334246320969
cg07139495	0.906163612163407	0.898793139953419	0.913857901330311	0.885280534538666	0.864821371097522	0.891483104255447	0.706521739130435	0.858700985017172	0.70603476846133	0.774373434902464	0.692818539891912	0.756509609423435	0.714139950385008	0.709238642485186	0.569610778443114	0.757279603721802	0.665604977593423	0.679092951418141	0.731348637015782	0.635304508748318	0.647475852881001	0.830694845200031	0.77030871351807	0.802429575780764	0.725719844629321	0.809623584766946	0.779519172245892	0.772293700088731	0.815801286847224	0.760576202206276	0.802184195537505	0.778789812612404	0.787055009519889	0.660727382544545	0.63917772390916	0.76456572303852	0.624929728624725	0.612901475694444	0.664336013584378	0.718623911658526	0.610812672176309	0.721327102610065	0.767917732421569	0.669307565488185	0.660126615392665	0.711242188462218	0.727648001554077	0.670708785545383	0.684567928631663	0.529010425195131	0.520475776667391	0.544280924072414	0.684072536596024	0.455796819993419	0.604207966590014	0.579210231516057	0.622396991144062	0.742939009414654	0.5803522740706	0.64877197691585	0.713996773494498	0.694127387781655
cg08857729	0.0301770012292297	0.0507617483170677	0.0374850150534191	0.0313815157238957	0.0313195216907675	0.0541614610560237	0.0379102790063516	0.041440056751005	0.0371403180829222	0.029671327401489	0.0334330342306414	0.0434171689142615	0.0317133635810842	0.0340611310773406	0.0312645823611759	0.0303735686127276	0.0456533814747952	0.0291528359070573	0.0480809272029157	0.032757605691422	0.0369856333695938	0.0557481437966603	0.0889873384766252	0.0528091265947007	0.0484284573238233	0.0573647473616504	0.0732139056477733	0.0548493180480263	0.0642950005909467	0.0500034245117294	0.053430309811875	0.0431318993968362	0.0705770616362088	0.149472548953524	0.150336848271822	0.0791665110721087	0.200040184850311	0.119459560893226	0.107906204606765	0.192135233026796	0.134810633188693	0.0722082525935629	0.0730693502515861	0.156767640458171	0.0730099774233486	0.0802046828079176	0.13172095442429	0.0994694960212202	0.184558343918432	0.379599986230163	0.365124711570157	0.305778004658137	0.229831335094493	0.291150045882328	0.241721162519234	0.280365721369905	0.303048654056918	0.158302649535237	0.230928020104111	0.145308782568584	0.126619770455387	0.179086169886538
cg09229169	0.895502398305613	0.868735490919022	0.83454498958828	0.887126473913746	0.858658427635497	0.90555617435212	0.866574589386412	0.87585702271615	0.841457455256246	0.910675790707187	0.876116896204232	0.879404827968923	0.864274899057873	0.874490862559925	0.837904468412943	0.830637214649368	0.858963263600824	0.834088316406207	0.879591435867217	0.858698805101478	0.861941718024804	0.863089950849766	0.85184435356521	0.817590987868284	0.795669040588269	0.81916798919036	0.837272560191141	0.84968147307793	0.822251219788948	0.807610993657505	0.86319299116802	0.845193361515579	0.853568306344599	0.77998936665116	0.766442583638008	0.806172153521064	0.763436641820322	0.761400824514429	0.74683006030617	0.752765486725664	0.703671648449699	0.766967218843923	0.763090000107054	0.768391033482206	0.723499645503455	0.739189045372308	0.728925645195937	0.72474601565041	0.726490619894103	0.609651975931046	0.623765030251972	0.624159951853957	0.691037226507318	0.65393681738271	0.684455903054042	0.679533793197186	0.717874471748317	0.747565090948997	0.708611343412891	0.725036208971665	0.758629404968227	0.760147285494091
cg09684160	0.884109603394982	0.845529916687705	0.825855223099814	0.813707204501628	0.882643998985029	0.887772927820392	0.865424830858448	0.899931141766495	0.885315830692963	0.893579190991203	0.922849022398821	0.871480035050898	0.862678443387002	0.91976263898459	0.84536343532997	0.877684086675164	0.903054448871182	0.837875052034967	0.853926870200538	0.853998323241273	0.884531806699979	0.88199670695956	0.591157851395632	0.668230418553109	0.688432174725381	0.669463960118996	0.65560150201268	0.632004943696787	0.598329796375686	0.733676769328697	0.710623451322004	0.680686295971979	0.440094795049592	0.319117656826691	0.343063526617851	0.339903584480212	0.45085286757157	0.405384093451431	0.448219159433182	0.381803547586151	0.307082212528488	0.376907590944926	0.270972444077329	0.426019094791953	0.448113792479565	0.419216256427268	0.36421605830508	0.361010524532537	0.339809016365083	0.299933661341147	0.275552289038358	0.391888312965836	0.329201257194388	0.23158932362754	0.243963311607003	0.317932159966308	0.2716990469121	0.380850206351903	0.364356582898109	0.347271349919772	0.386293057290737	0.355380926676793
cg10962754	0.268460126291368	0.437078874355925	0.410967503892397	0.459198442802955	0.388243823401091	0.407042648709315	0.529207265159398	0.499755123409358	0.362647897272888	0.552255883294321	0.476542909312234	0.466106795054163	0.441184414882841	0.476603199839468	0.459726901101306	0.403375238172048	0.30786921753561	0.479009174493989	0.447029229091071	0.487204888156203	0.29329778208702	0.46016535978528	0.562240328063454	0.675092590161331	0.456374140461746	0.697717654014817	0.667780295630497	0.742889251505652	0.688154824541337	0.603972102043861	0.726547216097879	0.688273462020067	0.583680439581892	0.508791181993318	0.451385739817013	0.518935905451483	0.523195709762874	0.483041669041783	0.513335187857503	0.445587204874334	0.458528097171517	0.455826380661911	0.50671396662725	0.540670689255048	0.500027612105147	0.538317217491702	0.454693775100402	0.485687022900763	0.468244620077975	0.352950002898679	0.31942776588524	0.365696244970943	0.434259329934421	0.285941073082229	0.397614108708265	0.444717833154727	0.435897435897436	0.519438849704105	0.391875922940116	0.496488572266632	0.527911736367816	0.515568242390814
