background.cpgs	CpG.coordinate	Chr.hg19	Start.hg19	End.hg19	CpG_Names	amplicon	Type.of.amplicon	S1.mean	S2.mean	S3.mean	S4.mean	NBC.mean	GC.mean	MBC.mean	PB.mean	diff.NBC.MB	diff.NBC.MB.conf	
1	cg00091302	chr1.182602986.182602987	chr1	182602986	182602987	B.cell.diff.74	AMPL130643	CpG.B.cell.diff	0.823463204543351	0.878573087989137	0.733140332091917	0.56953434815239	0.226815030698957	0.085834503970564	0.331794566912882	0.182174453522115	FALSE	FALSE
2	cg00128100	chr6.30656094.30656095	chr6	30656094	30656095	B.cell.diff.451	AMPL200045	CpG.B.cell.diff	0.928732329394139	0.879296500079191	0.71956283131342	0.663792672563407	0.587536136062512	0.422911084332978	0.603398636421923	0.521726581337849	FALSE	FALSE
3	cg00157962	chr1.109102212.109102213	chr1	109102212	109102213	B.cell.diff.305	AMPL199869	CpG.B.cell.diff	0.674443197179048	0.74005871059863	0.64111208150355	0.677931394884893	0.554557584526207	0.159123507834018	0.1842786222529	0.400891789013245	TRUE	FALSE
4	cg00257775	chr6.37904681.37904682	chr6	37904681	37904682	B.cell.diff.126	AMPL130856	CpG.B.cell.diff	0.809314425199356	0.885396774444266	0.863333083058348	0.884497045139214	0.323687205084548	0.560663893483184	0.739035410961184	0.387989977705776	TRUE	FALSE
5	cg00301601	chr21.30397148.30397149	chr21	30397148	30397149	always.unmeth.B.18	AMPL131340	CpG.always.unmeth.B	0.028648566314421	0.030739397039463	0.032985006389721	0.03355266370023	0.038395294460009	0.036128383291971	0.037797776338304	0.037676095344593	NA	NA
6	cg00310463	chr3.134371285.134371286	chr3	134371285	134371286	B.cell.diff.205	AMPL130744	CpG.B.cell.diff	0.767308020742207	0.816466770276179	0.779768509816385	0.777480626813793	0.809962616352719	0.578855204891892	0.444121993154842	0.716590777699119	TRUE	FALSE
7	cg00347863	chr7.94220697.94220698	chr7	94220697	94220698	B.cell.diff.90	AMPL130911	CpG.B.cell.diff	0.763961738706731	0.843444663724138	0.820375069967896	0.77624474406913	0.080784594392054	0.142909409581456	0.255300471360863	0.111726846041255	FALSE	FALSE
8	cg00398268	chr18.47017166.47017167	chr18	47017166	47017167	B.cell.diff.261	AMPL131263	CpG.B.cell.diff	0.920805642338307	0.928782517387667	0.933420796781385	0.936573050884675	0.904620457800567	0.756934715670279	0.575915298128116	0.870534823191136	TRUE	FALSE
9	cg00469995	chr16.702586.702587	chr16	702586	702587	always.meth.B.14	AMPL131172	CpG.always.meth.B	0.977380392277045	0.976720747154343	0.965614022854868	0.971026056052899	0.961190872352957	0.959261756916592	0.957874792287704	0.958388860382778	NA	NA
10	cg00520378	chr16.88773576.88773577	chr16	88773576	88773577	B.cell.diff.255	AMPL200371	CpG.B.cell.diff	0.572335451372118	0.620741814700711	0.560022489962267	0.616756904199802	0.586197489453741	0.254150132098163	0.242865820886075	0.479308407410825	TRUE	FALSE
11	cg00590639	chr19.10464771.10464772	chr19	10464771	10464772	always.meth.B.16	AMPL131281	CpG.always.meth.B	0.97973268936948	0.98049934872034	0.97723023229545	0.981256571298636	0.963740094677652	0.959028162806679	0.963670956157809	0.96387650480781	NA	NA
12	cg00607989	chr5.137985183.137985184	chr5	137985183	137985184	B.cell.diff.193	AMPL130803	CpG.B.cell.diff	0.774560619764477	0.754681045491804	0.743559449134482	0.732033759064314	0.804767367099891	0.576301750252213	0.534510736961925	0.729929909859553	TRUE	FALSE
13	cg00673109	chr16.29603204.29603205	chr16	29603204	29603205	B.cell.diff.59	AMPL131188	CpG.B.cell.diff	0.883115899453625	0.892906659342526	0.858721293646462	0.864684303513938	0.846996479532766	0.665840919443681	0.646269230564872	0.789182759447984	FALSE	FALSE
14	cg00713294	chr1.55678649.55678650	chr1	55678649	55678650	B.cell.diff.387	AMPL130627	CpG.B.cell.diff	0.578483839327802	0.665112711727009	0.649906690667399	0.704680733161202	0.156749238717519	0.112544391403972	0.12194730543956	0.138983626545842	FALSE	FALSE
15	cg00733722	chr16.26720703.26720704	chr16	26720703	26720704	B.cell.diff.60	AMPL131185	CpG.B.cell.diff	0.932404931753087	0.92790587380589	0.898933891107066	0.89204105929528	0.855724423117645	0.298824795985555	0.193988070140835	0.658318523695196	TRUE	TRUE
